Title,Tone
"Dokter Tifa Sindir Jokowi Punya Gangguan Mythomania, Ungkap Kebohongan Soal Investor Asing IKN",Negative
Jatam Desak Dana Pembangunan IKN Dialihkan ke Subsidi BBM,Negative
Kalimantan Timur Terkini! Gubernur Kalimantan Timur Ingatkan perencanaan IKN pertimbangkan masalah sosial,Negative
"Rencana APBN 2024 Fokus IKN dan Pemilu 2024, Utang Rezim Jokowi Makin Numpuk",Negative
Pesan Kapolri ke Perwira SIP Angkatan ke-51: Jadilah Agen Penggerak Reformasi Kultural Polri,Positive
"Gegara Edy Mulyadi Pakai Iket Sunda, Majelis Adat Murka",Negative
"Audit 22 Stadion di Indonesia, Presiden Jokowi Sampaikan 5 Stadion di Indonesia Rusak Berat",Negative
The IKN Sponge City and the Challenges That Come With It,Neutral
"Ditegur Wapres Soal Penundaan Pemilu, Muhaimin Iskandar Menyatakan, ""Namanya juga Usaha.""",Negative
Kapolri Tegaskan Soliditas dan Sinergitas TNI-Polri Modal Kawal Kebijakan Nasional,Positive
2.505 ASN dari 25 Instansi Siap Pindah ke IKN,Neutral
"Usai Tinjau Lokasi Banjir Bandang di Torue, Menteri PUPR dan Gubernur Sulteng Sepakati ini",Neutral
Prabowo: Ada Tukang Hasut dan Tak Beretika,Negative
"Pengurus Kadin Balikpapan Dilantik. Digitalisasi Jadi Fokus, Siapkan SDM Songsong IKN",Positive
"Lubang bekas tambang di Kalimantan Timur tewaskan 40 warga, didominasi anak",Negative
"Rapa Konsulasi Pimpinan MPR RI dengan Presiden RI, Keua MPR RI Bamsoe: Presiden Jokowi Akan Sampaikan Laporan Kinerja Lembaga Negara Dalam Sidang ahunan MPR RI anggal 16 Agusus",Neutral
"11 Kota di Dunia Ini Terancam Punah, Ada Wilayah di Indonesia",Negative
Dorong Kalimantan Timur Jadi Percontohan Pengembangan Pemuda,Positive
"Ramalan Presiden RI 2024, Arief Poyuono: Hanya Airlangga, Prabowo dan Puan Penerima Wahyu Makuturomo",Neutral
"Jokowi: Jika tak Berani Bertransformasi, Sampai Kapan Pun Indonesia Sulit Maju",Negative
SoftbBank Group Batalkan Minat untuk Investasi ke Ibu Kota Baru Indonesia,Negative
Anies Komentari Investasi IKN: Jangan Paksa Investor Tanamkan Modal,Neutral
Forum Kapnas Area Kalsul Integrasikan Kemampuan Produsen Lokal,Positive
"AS beri hibah Rp31,3 miliar untuk pengembangan infrastruktur IKN",Positive
"Softbank Mundur dari IKN, Bambang Susantono: Tak Perlu Khawatir",Negative
Jakarta Dinilai Tetap Menarik Bagi Investor Walau Ibu Kota Pindah,Positive
PAN Tolak RUU BPIP dan RUU Ibu Kota Negara Masuk Prolegnas 2021,Negative
"Kriteria Kepala IKN Disebut Miliki Latar Belakang Arsitek, Ridwan Kamil Ogah Berandai-andai",Negative
Menanti Percepatan Realisasi Investasi di IKN,Neutral
"Yakin Pemindahan Ibu Kota Bakal Banyak Masalah, JK: Gak Gampang, Rumit Sekali!",Negative
Kementerian PUPR mulai bangun infrastruktur jalan dan air di IKN,Neutral
"2024, Pemerintah Buka Rekrutmen CPNS 690.822 Formasi untuk Fresh Graduates",Neutral
"KEK Maloy Sepi Investor, Akmal Malik akan Lapor Presiden",Negative
Sejarah Pemindahan Ibu Kota Baru Brasil yang Tidak Sesuai Harapan,Neutral
"Bangun IKN Butuh Duit Rp466 Triliun, Pemerintah Ingin Masyarakat Ikut Urunan",Neutral
"Resmi Melantai Di Bursa, PT Wulandari Bangun Laksana Tbk Oversubscribed 25,37x",Negative
"Pemprov Kalimantan Timur Upayakan Konektivitas ke Berau Bisa Dijangkau Lebih Cepat, Berharap Banyak Maskapai Buka Rute",Positive
"Tolak IKN, Din Syamsuddin Cs Teken Petisi 'Bukan Waktunya Pindahkan Ibu Kota'",Neutral
"Stop Bullying, PLN Tanamkan Karakter Anti Bullying Lewat Dongeng",Negative
Hamdam Berharap Perubahan Status BNK Menjadi BNNK PPU Segera Terwujud,Positive
Jokowi: Jam terbang Jenderal Agus penuhi syarat calon Panglima TNI,Positive
"Soroti Kepindahan IKN Indonesia, Joe Biden: Berpotensi Banjir dan Korupsi Miliaran Dolar!",Negative
"Menhub Senang, Progres Pembangunan Bandara IKN Sesuai Rencana",Positive
"Kata Said Didu, Pembangunan IKN Sebatas Proyek Ambisius Jokowi Mirip Kereta Cepat dan Esemka",Negative
Seperti Apa Jakarta Pasca-IKN? DPRD Sebut Kantornya Anies Baswedan Lemah Soal Diskusi,Negative
Kapolri Bersama Kapolda Kalimantan Barat Dampingi Presiden Jokowi Dalam Acara Bahaupm Bide Bahana TBBR di Rumah Radakng Pontianak - Media Suara Mabes,Neutral
DJKN Kaji Pakai Aset Nganggur DKI Biayai IKN,Negative
Anis Pesimis Pemerintah Dapat Realisasikan Target RAPBN 2024,Negative
"Harga di Pasar Berubah, Partai Ummat DIY Menolak Kenaikan Harga BBM",Negative
Harga Tanah di Lokasi IKN Melonjak Tajam,Negative
Pengamat Politik: Jokowi Seharusnya Pecat Luhut dari Kabinetnya Karena Bikin Gaduh,Negative
"Mengunjungi Lokasi Calon Ibu Kota Baru, Terkejut Melihat Kondisi Jalan yang Rusak Parah!",Negative
Bupati Kukar Study Mekanisasi Pengembangan Komoditi Jagung Modern,Neutral
LaNyalla Mahmud Mattalitti Dapat Penghargaan Pejabat Pro Rakyat dari APIB,Positive
"Relawan Nusantara Bersatu Bacakan Deklarasi, Apa Isinya?",Neutral
"Antisipasi Gangguan Kamtibmas, Regu C Satgas Ops Nusantara Polda Kalimantan Timur Laksanakan Pengamanan di wilayah IKN",Positive
Presiden Resmikan Dimulainya Pembangunan Polres Khusus IKN,Positive
"Status Ibu Kota Dicabut, Tarif Pajak Parkir di Jakarta Bakal Naik",Negative
Kesan Para Pembalap MotoGP Bertemu Presiden Jokowi,Neutral
"Berikan Maeri Rakernas dan Rapimnas FKPPI, Keua MPR RI Bamsoe Ajak Kader FKPPI Jaga Kondusifias Bangsa Jelang Pemilu",Positive
Presiden Joko Widodo Ajak Investor Hong Kong Dukung Pembangunan IKN,Positive
"BEM SI Ungkap Pengeroyok Ade Armando, Pastikan Bukan dari Mahasiswa!",Neutral
Menteri Bisa Rangkap jadi Kepala Otorita IKN Nusantara,Neutral
Spesifikasi Bandara di IKN yang Berstatus VVIP,Neutral
NOC Indonesia Serukan #StandforIndonesianSport,Neutral
BI Perkuat Investasi Hijau di Kalimantan Selatan,Positive
"Jadi Narasumber Lk Ii Hmi, Wabup Sidrap Bahas Agrobisnis",Neutral
"Pisah Sambut Dandim 0905, Ini Pesan Wali Kota Balikpapan",Negative
"Besok, PA 212 dan GNPR Turun ke Jalan Tolak BBM Naik",Negative
"Diterima Pimpinan DPRD Riau, Mahasiswa Sampaikan 5 Tuntutan",Negative
"Gelar Aksi Demo Tolak Kenaikan BBM, Mahasiswa Bandung: Kami Muak Kepada Rezim Jokowi!",Negative
DPRD Balikpapan Desak Pembangunan Depo Kontainer di KM 13,Negative
Resmi! Pembangunan 4 Kota Baru Jadi Prioritas Jokowi Jelang Lengser,Positive
"Lewat Tol IKN, Waktu Tempuh Balikpapan ke IKN Hanya 50 Menit",Neutral
Mahkamah Konstitusi Menolak Enam Gugatan Uji Materi UU IKN,Negative
Kampanye Terakhir 02 Harusnya di IKN Bukan di Jakarta,Neutral
Anies Baswedan Ungkap Alasan Pembuatan RDTR,Neutral
Kementerian PUPR Siapkan Skema KPR bagi ASN Pionir di IKN,Positive
"Cipayung Kota Medan Geruduk Kantor DPRD Sumatra Utara, Bawa 4 Poin Tuntutan",Negative
Kepala Kemenag Katingan : Dana Haji Untuk IKN Issu Hoax,Negative
Partai Rakyat: PKS Menjalankan Protokol Kesesatan,Negative
Rizal Ramli: Belum Tentu Presiden yang Akan Datang Setuju Ide Pindah Ibukota,Positive
Konsep Ibu Kota Baru Indonesia Yang Ramah Lingkungan Jadi Sorotan Dunia,Negative
"Dugaan Muslim Arbi, Jokowi Mania Takut Ganjar Pranowo Tidak Diusung PDIP",Neutral
Ambisi Irasional Jokowi dan Bahaya Kegagalan Pemindahan Ibu Kota Negara,Negative
Demokrat Senayan: Pindah Ibu Kota Banyak Dilakukan Negara Lain,Neutral
DPD RI Minta Dana Pembangunan Ibu Kota Baru Dialihkan untuk Penanganan Dampak Covid-19,Negative
"Nih Dia, Negara Yang Komit Terlibat di IKN",Positive
Budayawan: Nusantara Punya Makna Spiritual dan Historis,Positive
Pengacara: Kasus Said Didu Semestinya Gugur secara Hukum,Negative
Keberlanjutan Pembangunan IKN Tergantung Hasil Pilpres 2024,Neutral
"Kabar Sebut Wacana Penundaan Pemilu 2024 Bukan dari Pemerintah, Faldo Maldini: Jangan Sampai Diseret-Seret",Positive
President Joko Widodo presents investment opportunities in IKN to investors,Positive
GRP Raih Laba Bersih Rp766 Miliar,Positive
"Dana Haji untuk Bangun IKN Hoaks, Pemerintah Sudah Siapkan Rp 7,5 Triliun untuk Jamaah RI",Positive
"Sindir Pernyataan Anies, Meutya Hafid: Pemilu Urusan Dalam Negeri, Jangan Internasionalisasi Pemilu",Neutral
"Gempar 'Istana Garuda' Ibu Kota Baru Diprotes, Ini Pemicunya",Negative
"Survei Sebut Masyarakat Tolak Penundaan Pemilu, Anthony Budiawan Bilang Jika Tetap Dilakukan Sama dengan Kudeta",Negative
"Sebut Anies Bunuh Diri Jika Lakukan Hal Ini, PPP: Kalau Dia Berbalik Jadi.",Neutral
"Wacana Penundaan Pemilu, KSP: Pemerintah Tetap Berpegang pada Konstitusi",Neutral
Panglima TNI Dampingi Kunjungan Kerja Presiden RI ke IKN,Neutral
Firli Bahuri Cs Tolak Pembentukan Kantor Perwakilan KPK di Daerah,Negative
"PUPR Minta Anggaran Tambahan Rp 9,4 T untuk Bangun Apartemen ASN di IKN",Neutral
Menteri PANRB Bahas Rencana Pemindahan IKN Bersama Mensesneg,Neutral
Demokrat Persilakan Kader Bersama Rakyat Demo Tolak Kenaikan BBM,Negative
Refeksi Sistem pada Kenaikan BBM : Membebani Rakyat,Negative
Segera Diperiksa! Rocky Gerung Nyatakan Siap Penuhi Panggilan Polri di Kasus Penyebaran Hoax,Positive
Malam Ini Jokowi dan Iriana Menginap di Kawasan Inti IKN,Neutral
"Disaksikan Presiden Jokowi, Proyek Superblok Pakuwon Resmi di IKN",Neutral
Kader Muda Golkar tanggapi sejumlah isu yang mendiskreditkan pemerintah,Negative
Jokowi Resmikan Pembangunan Kantor Otorita IKN Senilai Rp 509 Miliar,Positive
Mengapa Realisasi Investasi di IKN Melambat?,Negative
Direktur Utama LPP TVRI Berkesempatan Meninjau Lokasi Ibu Kota Nusantara,Positive
Muhaimin Iskandar Ungkap Alasan Dulu Dukung IKN,Neutral
"Dms Propertindo (kota) Akan Garap Proyek Di Dekat Ibu Kota Baru, Begini Kata Analis",Neutral
Peran Kendaraan Listrik di IKN: Mendorong Mobilitas Hijau,Positive
"Pastikan Penyiapan Fasilitas Kesehatan, Komisi IX DPR Kunjungi IKN Nusantara",Positive
Emil Salim Kritik Pemindahan Ibu Kota RI di Depan Mahfud MD,Negative
"Jokowi Bertemu Presiden Korsel, Dorong Realiasi 18 Proyek",Positive
Rusman Soroti IPP Kalimantan Timur yang Rendah,Neutral
"Kemarin, pengamanan MotoGP Mandalika hingga penangkapan teroris",Positive
Ketika Orang Terkuat Merasa Terzolimi,Negative
"Olah TKP, Polisi Ungkap Fakta Terbaru Kecelakaan Tunggal Truk Pengakut Pekerja IKN",Positive
"Jokowi akan Resmikan Pembangunan Jalan Tol, Bandara hingga Gedung Sekolah di IKN",Positive
Pembangunan Istana Negara di IKN Nusantara Tahap Lelang,Neutral
Momen Presiden Jokowi makan siang satu meja dengan pekerja proyek IKN,Neutral
Jokowi dan Presiden Korsel Bahas Mobil Listrik-Pengembangan IKN,Neutral
Normalisasi sungai di daerah rawan banjir di IKN butuh miliaran rupiah,Negative
Gubernur Haris bawa tanah Tanggo Rajo dan air dari Candi Muara Jambi ke IKN Nusantara,Neutral
"Waspada Hoax, Vaksinasi Covid-19 Tidak Berkaitan Dengan Hepatitis Akut",Negative
"PT SMI Bukukan Pendapatan Tahun 2023 Sebesar Rp 7,6 Triliun",Neutral
Lavrov: The Russian Chain-smoker,Neutral
"HUT ke 30 Teater Yupa, Mengulas Eksistensi Komunitas Teater di Masa Depan, Adaptasi Virtual dan Tekanan IKN",Negative
"Jangan Nusantara, Fadli Zon Usul Ibu Kota Negara Baru Dinamai Jokowi Saja",Neutral
Sejumlah menteri usulkan peringatan HUT RI 2024 digelar di IKN Nusantara,Neutral
Kawasan Industri PPU Diharapkan Mampu Menopang IKN,Positive
"Lokal Tak Gentar, Aerostreet Dekatkan Diri dengan Pembeli lewat Roadshow",Positive
"Proyek Pembangunan IKN Diklaim Banyak Diminati, Menteri Bahlil: Saya Juga Heran",Negative
"Proyek Infrastruktur Bertujuan Melayani Oligarki Predator, Bukan Kepentingan Rakyat Banyak",Negative
"Training Center Timnas di IKN Akan Dibangun, Presiden Ungkap Hal Ini",Neutral
"Satgas Ops Nusantara Mahakam Gelar Patroli Kamtibmas Di Sekitar Kawasan Pembangunan IKN, Guna Ciptakan Situasi Aman dan Kondusif",Positive
Masyarakat Adat Terlibat Dalam Pembangunan IKN,Neutral
"TPDI: Pernyataan Rocky Gerung Ujaran Kebencian, Bisa Dijerat UU ITE",Negative
Presiden Jokowi Pimpin Penyatuan Tanah dan Air Nusantara,Positive
Fraksi PDIP Ancam Tolak Ranperda RTRW,Negative
"Demo Tolak Perppu Cipta Kerja, Begini 10 Tuntutan Buruh",Negative
"Usai Jepang dan Inggris, Jokowi dan Airlangga Temui Kanada, Brazil, Cook Island dan IMF di KTT G7",Neutral
Penanganan Jalan Kabupaten Penajam Lamban Karena Terbatasnya Anggaran,Negative
Kuartet Jaksa-Pengusaha Bondowoso Jadi Tersangka Suap Menyuap Stop Perkara,Negative
"Video: Ada Soal IKN, Ini Pesan Jokowi Ke Italia Dan Prancis!",Neutral
"Di Executive Brief DPD RI, Ekonom Anthony Budiawan Sebut Indonesia Bangkrut Tanpa Daerah",Negative
"Temui Menteri Transportasi China, Ini yang Dibahas Menhub",Neutral
Melihat Masa Depan IKN Lewat Karya Visual 'Kecemasan dan Harapan',Negative
Dahlan Iskan dan 'Angka Sial' Nama Nusantara Buat Ibu Kota RI,Negative
Menkeu: Pembangunan IKN 2023 Dianggarkan Rp 30 Triliun,Neutral
"Hingga Juni, LMAN Catat Pendanaan Lahan Proyek Strategis 2022 Capai Rp 6,2 T",Positive
"Ditargetkan Selesai Tahun 2023, Pembangunan Bendungan Sepaku Semoi Capai 56 Persen",Neutral
Mantan Ketua Umum PB HMI jadi Salah Seorang Penumpang Pesawat Sriwijaya yang Hilang,Negative
"Prabowo Dukung Jokowi Pindahkan Ibu Kota, Roy Suryo: Ambyar",Negative
Prospek Investasi Pembangunan Perumahan di IKN Nusantara,Positive
"Progres Bendungan Penyedia Air Baku IKN Nusantara Capai 74,32%",Neutral
Uea Ingin Terlibat Dalam Proyek Pembangunan Ibu Kota Baru Indonesia,Neutral
"Video: Gelontorkan Dana Rp841 Miliar, LPS Bangun Gedung di IKN",Positive
Presiden Jokowi: Polri harus lebih maju dibanding pelaku kejahatan,Negative
Ramai-ramai Kritik Pemindahan IKN: Ancam Keselamatan Rakyat,Negative
"Ibu Kota Baru, Transportasi Tanpa Pengemudi Jadi Impian",Neutral
"Pandemi Covid&ndash;19, Legislator&#58; Tunda Pemindahan Ibu Kota",Negative
"GAS TERUS.! Softbank Mundur dari Proyek IKN, Bambang Susantono: Tak Perlu Khawatir, Ini Biasa - BERGELORA.COM",Negative
Andang Bachtiar: Bencana mengintai ibu kota baru,Negative
"VIRAL : Sejumlah Pihak Nilai Pembangunan IKN Terlalu Cepat, Isran Noor : 'Justru Sangat Terlambat'",Negative
Mentan proyeksikan Kalimantan Tengah menjadi penyangga pangan IKN,Positive
"Zulhas Dan Hadi Jadi Menteri, Warganet : Rombak Kabinet, Nanggung?",Neutral
Kemenko Marves dukung Kaltara jadi pemasok utama pangan di IKN,Positive
"Meningkatkan Ekonomi Masyarakat, Warga RT 87 Karang Rejo Gelar Pasar Rakyat Senayan",Positive
"Amien Rais Masih Tak Puas, Minta Jokowi Pertegas Jabatan Presiden Bakal Berakhir Oktober 2024",Negative
Kapolda Mengatakan Sebagian Lulusan SPN Polda Jawa Tengah Ditempatkan di IKN,Neutral
SoftBank Beberkan Alasan Tak Jadi Investasi di IKN Nusantara,Negative
Menteri ATR/Kepala BPN Dampingi Presiden Groundbreaking Bandara Internasional IKN,Neutral
KLHK Siapkan Wilayah dan Desain Koridor Satwa Liar di Lokasi Calon IKN Nusantara,Negative
PNS yang Ogah Pindah ke IKN Nusantara Diminta Mundur dan Dapat Sanksi Disiplin,Negative
Pembagian Buku Melibatkan Univeritas Mulawarman,Neutral
"Tiket Jakarta E-Prix 2023 Sold Out, Siap Digelar 3-4 Juni di JIEC Ancol, Bamsoet Acungkan Jempol!",Positive
"Aksi Sejuta Buruh, Massa Gaungkan Revolusi Ramli Desak Jokowi Mundur",Negative
Pengamat: Lebih Baik Tunda Pembangunan IKN daripada Naikkan Harga BBM | Pilar.ID,Negative
Anggaran Infrastruktur 2024 Sentuh Ratusan Triliun: Kok Masih Butuh Investor Asing? - Harian Haluan,Neutral
Bayang-Bayang Bencana di IKN Nusantara: Banjir hingga Karhutla,Negative
PUPR instruksikan pembangunan IKN dengan konstruksi berkelanjutan,Positive
"Saat Ridwan Kamil Beri ""Bisikan Politis"" ke Jokowi soal Desain IKN.",Negative
"6 Kementerian Ini Akan Pindah Duluan ke IKN Nusantara, Apa Saja?",Neutral
"Bantah IKN Minim Pendanaan, Luhut Klaim Uni Emirat Arab Siap Investasi Rp293 Triliun",Positive
"Perkuat Pengujian K3, Kemnaker Hibahkan Alat Ergonomi ke Balai K3",Positive
"Viral Kritik Proyek IKN dan Hina Prabowo, Ini Profil Edy Mulyadi",Negative
"Saham BUMN Karya Hilang Gairah, Suku Bunga Jadi Ancaman Baru",Negative
"Sangat Filosofis! Ini Makna pada Logo IKN Nusantara, yang Baru Saja Diresmikan Jokowi",Positive
Otorita Dorong Kerja Sama Tingkatkan Sinyal di Kawasan IKN,Positive
Presiden sampaikan tiga sektor prioritas kerja sama Indonesia-PEA,Positive
"Kontroversi IKN, Masyarakat Desa Pemaluan Diminta Bongkar Rumah Sendiri dalam Seminggu",Negative
Otorita IKN Sebut 36 Ribu Hektare Kawasan Hutan Jadi HPL untuk Bangun Ibu Kota Baru,Neutral
DPR Minta Pembangunan oleh Kementerian PUPR Tak Hanya Berfokus pada IKN,Positive
"Rakernas III PDIP Hasilkan 17 Rekomendasi, Agus Ambo Djiwa: Kita Minta Pemerintah Secepatnya Selesaikan Status dan Kesejahteraan Tenaga Honorer",Negative
Ternyata ini Alasan Dirubahnya UU IKN,Neutral
"Waduh, Monitor Alat Berat Pembangunan IKN Dicuri",Negative
Bhima Yudhistira: Presiden 2024 Harus Berani Tunda Proyek IKN,Negative
Tanah dan Air dari Kepri Disatukan Dalam Bejana Nusantara,Neutral
"Demo 11 April 2022, Adian Napitupulu: Sasaran Aksi Salah Alamat!",Negative
Jubir Luhut&#58; Pembangunan Ibu Kota Negara Baru Berpotensi Ditunda,Negative
"Jokowi Disebut Bakal Dapat Rumah di Colomadu dari Negara, Dokter Tifa: Kok Enggak di IKN Aja?",Negative
"PKS akan Batalkan IKN di Kalimantan, Ini Respon Ganjar Pranowo",Neutral
"The Best 5 Oto: Mobil Listrik Perdana Lexus Hadir di JAW 2022, Suzuki GIXXER SF 250 dan GSX-R150 Tebar Pesona",Positive
Pemprov Kalimantan Selatan Apresiasi Pelantikan DPD IKA UNY,Positive
"PUPR: Progres Pembangunan Jalan Tol IKN Seksi 5A Capai 61,34 Persen",Positive
2500 Unit Hunian Akan Bangun di Ibu Kota Baru,Neutral
Btn Optimistis Raup Laba Rp3 Triliun Di 2020,Positive
BI-Bank Sentral China Sepakati Kurangi Dolar AS,Neutral
Jokowi Panggil Suharso Bahas Soal IKN dan Polemik PPP - JERNIH.ID | Berita Aktual Terkini,Neutral
"IKN Nusantara Banjir Investor, Dana Rp299,5 Triliun Sudah Masuk",Neutral
Kapolri Resmikan Pembangunan Asrama Brimob Polda Kalimantan Barat,Positive
Sosok Hamka Haq di Mata Ganjar: Tokoh Alim yang Sering Memberi Nasihat,Neutral
Bahlil soal Investor Diberi Hak Lahan di IKN 180 Tahun: Bukan Ngemis,Neutral
Sri Mulyani Rilis Aturan Pemanfaatan Aset Negara di IKN,Positive
"Pengamat Usul Penjabat DKI Harus Punya Lima Kriteria Ini, Apa Saja? | 31left",Neutral
Ziarah GMRI Kepada Para Leluhur di Kutai Kertanegara Kalimantan Timur,Neutral
Menteri Tjahjo Tegaskan ASN Kementerian dan Lembaga Harus Siap Pindah ke IKN Nusantara,Neutral
Kemenkeu Mulai Proses Pencairan Anggaran Tahap Awal IKN,Neutral
Tidak Ada Penggusuran dalam Proyek Pembangunan IKN,Positive
Presiden Jokowi Optimistis Upacara Peringatan HUT Kemerdekaan RI Tahun 2024 Dilaksanakan di IKN,Positive
Menpora Amali Ikut Dampingi Presiden Jokowi Buka Kongres Nasional ke-32 PMKRI di Samarinda,Neutral
KSP Meoldoko Duga Ada Pihak yang Mendalangi Rocky Gerung,Negative
"Malam Ini, Pengurus PSI Temui Ketum Golkar Airlangga Hartarto",Neutral
"Sampai Juli 2023, Kementerian PUPR Sudah Salurkan FLPP Sejumlah 103.749 Unit Rumah",Positive
"Negara Buka Lowongan Kerja PNS Khusus Di Ibukota, Gaji Menggiurkan Buruan Daftar - Editor.id",Neutral
"UU IKN Disahkan, Provinsi Jakarta Tak Lagi Pakai DKI",Neutral
"Di Depan Jokowi, Gus Yahya Puji Soal Pemindahan Ibu Kota Baru Nusantara ke Kalimantan Timur: Out Of The Box!",Positive
Anies Baswedan Tak Ada Rencana Kampanye ke IKN,Neutral
Kemenko Polhukam Berencana Bangun Sistem Pertahanan Semesta di IKN,Positive
Relawan Lampung dan PT KAI Serahkan Jembatan Gantung ke Warga Dua Kampung,Neutral
Presiden Sebut Minat Investasi di IKN Tinggi,Neutral
"Presiden Jokowi Terima Kunjungan Delegasi US-ASEAN, Ini yang Dibahas!",Positive
Presiden Jokowi Resmikan Logo IKN Bertema Pohon Hayat,Positive
"Gibran Disebut Tak Jawab Kritik Soal IKN, Masinton PDIP: Saya Tidak Mellihat Gagasan Orisinil",Neutral
"Soal Kelangkaan BBM, DPR RI: Pemerintah jangan Oper-operan Bola!",Neutral
Subsidi Inflasi,Negative
Riza Patria Claims Moving Capital to Help Jakarta Burden - 1NEWS,Positive
"Baru Dilantik, 14 Bintara Polri Nusa Tenggara Timur Langsung Penugasan di IKN Nusantara",Positive
"WIKA Kebut Penyelesaian 25 PSN, Ada Jalan Tol Cisumdawu",Neutral
"Reshuffle Rabu Pon, PAN Pasrah Terkait Janji Jokowi Soal Kursi Menteri",Negative
"Infrastruktur Jalan Diperbaiki, Rambu Lalu Lintas Ditingkatkan",Positive
"APBD PPU Masih Seret, Atasi Sampah Perlu Rp 8 Miliar - MEDIA KALTIM",Positive
